ms_id	bibl_xml_id	bibl_xpath	bibl_xpath_readable	citedRange_from	citedRange_to	status	ref_ms_id	ref_locus_xpath	ref_locus_xpath_readable	ref_locus_from	ref_locus_to
1575	jalit-orgmanuscript1577	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	23r	23v	existing	1577	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	23r	23v
1575	jalit-orgmanuscript1576	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	7r	8v	existing	1576	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	7r	8v
1575	jalit-orgmanuscript313	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	313	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1575	jalit-orgmanuscript311	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	311	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1575	jalit-orgmanuscript345	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	3v	existing	345	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	3v
1575	jalit-orgmanuscript360	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[7]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	36v	existing	360	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	36v
1576	jalit-orgmanuscript1578	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1578	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1576	jalit-orgmanuscript1577	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	23r	23v	existing	1577	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	23r	23v
1576	jalit-orgmanuscript1575	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1575	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1576	jalit-orgmanuscript313	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	313	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1576	jalit-orgmanuscript311	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	311	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1576	jalit-orgmanuscript345	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	3v	existing	345	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	3v
1576	jalit-orgmanuscript360	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[7]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	36v	existing	360	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	36v
1577	jalit-orgmanuscript1578	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1578	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1577	jalit-orgmanuscript1576	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	7r	8v	existing	1576	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	7r	8v
1577	jalit-orgmanuscript1575	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1575	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1577	jalit-orgmanuscript313	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	313	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1577	jalit-orgmanuscript311	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	311	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
1577	jalit-orgmanuscript345	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[6]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	3v	existing	345	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	3v
